t,m1,m2,m3,m4,vbat
1.855322241783142090e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.085630416870117188e+00
1.855980706214904785e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.085630416870117188e+00
1.856758785247802734e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.085630416870117188e+00
1.857851672172546387e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.090909004211425781e+00
1.858669543266296387e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.090909004211425781e+00
1.859705638885498047e+01,3.576100000000000000e+04,3.580200000000000000e+04,3.666200000000000000e+04,3.648300000000000000e+04,4.085630416870117188e+00
1.860642790794372559e+01,3.576100000000000000e+04,3.580200000000000000e+04,3.666200000000000000e+04,3.648300000000000000e+04,4.085630416870117188e+00
1.861772584915161133e+01,3.576100000000000000e+04,3.580200000000000000e+04,3.666200000000000000e+04,3.648300000000000000e+04,4.085630416870117188e+00
1.862813830375671387e+01,3.619600000000000000e+04,3.632800000000000000e+04,3.710500000000000000e+04,3.696300000000000000e+04,3.452199459075927734e+00
1.863654327392578125e+01,3.619600000000000000e+04,3.632800000000000000e+04,3.710500000000000000e+04,3.696300000000000000e+04,3.452199459075927734e+00
1.864757275581359863e+01,3.764300000000000000e+04,3.692600000000000000e+04,3.802200000000000000e+04,3.802000000000000000e+04,3.462756633758544922e+00
1.865651321411132812e+01,3.837400000000000000e+04,3.920700000000000000e+04,3.877600000000000000e+04,3.756200000000000000e+04,3.478592395782470703e+00
1.866632223129272461e+01,3.837400000000000000e+04,3.920700000000000000e+04,3.877600000000000000e+04,3.756200000000000000e+04,3.478592395782470703e+00
1.867651247978210449e+01,3.842000000000000000e+04,3.875100000000000000e+04,3.975800000000000000e+04,3.958800000000000000e+04,3.494428157806396484e+00
1.868645811080932617e+01,3.842000000000000000e+04,3.875100000000000000e+04,3.975800000000000000e+04,3.958800000000000000e+04,3.494428157806396484e+00
1.869625139236450195e+01,3.897800000000000000e+04,3.908100000000000000e+04,4.034800000000000000e+04,4.029600000000000000e+04,3.515542507171630859e+00
1.870681309700012207e+01,3.897800000000000000e+04,3.908100000000000000e+04,4.034800000000000000e+04,4.029600000000000000e+04,3.515542507171630859e+00
1.871730256080627441e+01,3.988600000000000000e+04,3.943500000000000000e+04,4.074900000000000000e+04,4.055300000000000000e+04,3.526099681854248047e+00
1.872666692733764648e+01,3.988600000000000000e+04,3.943500000000000000e+04,4.074900000000000000e+04,4.055300000000000000e+04,3.526099681854248047e+00
1.873799681663513184e+01,3.988600000000000000e+04,3.943500000000000000e+04,4.074900000000000000e+04,4.055300000000000000e+04,3.526099681854248047e+00
1.874809050559997559e+01,3.945200000000000000e+04,4.047400000000000000e+04,4.134600000000000000e+04,4.081000000000000000e+04,3.541935443878173828e+00
1.875769782066345215e+01,3.945200000000000000e+04,4.047400000000000000e+04,4.134600000000000000e+04,4.081000000000000000e+04,3.541935443878173828e+00
1.876706385612487793e+01,4.070700000000000000e+04,4.049300000000000000e+04,4.069500000000000000e+04,4.111400000000000000e+04,3.557771205902099609e+00
1.877708101272583008e+01,4.070700000000000000e+04,4.049300000000000000e+04,4.069500000000000000e+04,4.111400000000000000e+04,3.557771205902099609e+00
1.878702282905578613e+01,3.910300000000000000e+04,4.156300000000000000e+04,4.140100000000000000e+04,4.150000000000000000e+04,3.568328619003295898e+00
1.879656696319580078e+01,3.910300000000000000e+04,4.156300000000000000e+04,4.140100000000000000e+04,4.150000000000000000e+04,3.568328619003295898e+00
1.880649304389953613e+01,3.941200000000000000e+04,4.050600000000000000e+04,4.291700000000000000e+04,4.165700000000000000e+04,3.578885793685913086e+00
1.881760740280151367e+01,4.146900000000000000e+04,4.087400000000000000e+04,4.174700000000000000e+04,4.090800000000000000e+04,3.584164381027221680e+00
1.882732415199279785e+01,4.146900000000000000e+04,4.087400000000000000e+04,4.174700000000000000e+04,4.090800000000000000e+04,3.584164381027221680e+00
1.884429621696472168e+01,4.267400000000000000e+04,4.206700000000000000e+04,3.999300000000000000e+04,4.028800000000000000e+04,3.589442968368530273e+00
1.884741902351379395e+01,4.267400000000000000e+04,4.206700000000000000e+04,3.999300000000000000e+04,4.028800000000000000e+04,3.589442968368530273e+00
1.885682654380798340e+01,4.057400000000000000e+04,4.337000000000000000e+04,4.238200000000000000e+04,3.826300000000000000e+04,3.589442968368530273e+00
1.886744332313537598e+01,4.057400000000000000e+04,4.337000000000000000e+04,4.238200000000000000e+04,3.826300000000000000e+04,3.589442968368530273e+00
1.887777113914489746e+01,4.116700000000000000e+04,4.303300000000000000e+04,4.230600000000000000e+04,3.733000000000000000e+04,3.600000143051147461e+00
1.888706254959106445e+01,4.116700000000000000e+04,4.303300000000000000e+04,4.230600000000000000e+04,3.733000000000000000e+04,3.600000143051147461e+00
1.889705491065979004e+01,4.116700000000000000e+04,4.303300000000000000e+04,4.230600000000000000e+04,3.733000000000000000e+04,3.600000143051147461e+00
