Time_s,Priority_0,Priority_1,Priority_2,Priority_3,Priority_4,Priority_5,Priority_6
1773951503.3821352,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.3964124,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.4036179,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.41822,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.4257681,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.4334145,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.443329,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.4525146,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.4612885,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.470948,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.4808507,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.4910648,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.5009434,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.5112567,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.5206962,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.5309942,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.5414927,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.5511837,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.5615687,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.5716383,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.581724,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.5915563,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.6047971,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.6119268,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.6216147,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.632028,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.6422582,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.651222,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.6607935,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.6714027,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.6814413,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.691178,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.7041655,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.7113993,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.7212963,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.7326832,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.7419124,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.7518585,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.7625737,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.7722769,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.782726,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1773951503.7914693,1.0,1.0,1.0,1.0,1.0,0.0,1.0
